"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3Rmc1J4r9rG60101cOGg5B","Get Back Right","spotify:artist:1CFCsEqKrCyvAFKOATQHiW, spotify:artist:1mceaxtjWdEmwoDVAlkC41","Lecrae, Zaytoven","spotify:album:1oDkUnjCBAHsaQtr0J0s3t","Let the Trap Say Amen","spotify:artist:1CFCsEqKrCyvAFKOATQHiW, spotify:artist:1mceaxtjWdEmwoDVAlkC41","Lecrae, Zaytoven","2018-06-22","https://i.scdn.co/image/ab67616d0000b2739d4ee0a18ce6768c68e90df4","1","1","185946","https://p.scdn.co/mp3-preview/e12147b05ba53890345fccca6945fdb5a7640321?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QMTND1101521","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-11-15T17:23:07Z"
"spotify:track:1oEPa4o4yRCKNPVD0PVUkW","Respect My Team","spotify:artist:4c6lhwoOrmgNWvl0GxHlW1, spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:1CFCsEqKrCyvAFKOATQHiW","Tedashii, Trip Lee, Lecrae","spotify:album:1d7o2fV8QVIxvIDYGlRLxe","Respect My Team","spotify:artist:4c6lhwoOrmgNWvl0GxHlW1, spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:1CFCsEqKrCyvAFKOATQHiW","Tedashii, Trip Lee, Lecrae","2022-06-24","https://i.scdn.co/image/ab67616d0000b273b26275a0f4a4bfd29b924fec","1","1","227741","https://p.scdn.co/mp3-preview/adc51e503c22691321a643fbcfe1ad54820b82f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","QMTND2200049","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-11-15T17:23:00Z"
"spotify:track:7KC13bS7eUYeXcRXvfYhAy","God Flex","spotify:artist:4c6lhwoOrmgNWvl0GxHlW1, spotify:artist:12H1Dmi64fAmmARrsyVFzy","Tedashii, Trip Lee","spotify:album:6lp34X38buB3Rl6u2zh5g1","Never Fold","spotify:artist:4c6lhwoOrmgNWvl0GxHlW1","Tedashii","2019-03-08","https://i.scdn.co/image/ab67616d0000b273cd14359eed7e6b274cb247aa","1","2","209311","https://p.scdn.co/mp3-preview/266b16deb68503a0af37b71f457c5674ba465c20?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","QMTND1101656","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-11-16T07:56:41Z"
"spotify:track:4ds41ycY4UZaxApauzIg40","You Got It","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","spotify:album:4nJWzgMLcYpNdrjVDO5g81","You Got It","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2021-08-13","https://i.scdn.co/image/ab67616d0000b2739a018cdbe9aa62fe810adb40","1","1","252488","https://p.scdn.co/mp3-preview/be48a97b235dd2a7b7a5accde57d6ecad187a341?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","QMTND2100122","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-01-03T05:59:37Z"
"spotify:track:2ZFnkQzc6rWJ9HhRDoeEbq","Right Out The Gate","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","spotify:album:04pUvZNdQT3sT8jJ7Iulwr","The End.","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2022-03-04","https://i.scdn.co/image/ab67616d0000b27306e9a48c622c6f3b6a47f744","1","2","177613","https://p.scdn.co/mp3-preview/2a6a70ade594b3ca648cb16834319969675c9581?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QMTND2200001","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-11-15T17:23:04Z"
"spotify:track:0YD8n8i2csyzspZbA7AdAc","Still Unashamed","spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:4c6lhwoOrmgNWvl0GxHlW1","Trip Lee, Tedashii","spotify:album:1LcvdArFKzZW4SwnIUOVWf","The Waiting Room","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2016-12-09","https://i.scdn.co/image/ab67616d0000b2736cf4ac37bd3323b39eba74be","1","6","274719","https://p.scdn.co/mp3-preview/3bb5c2fa35809c0b79316fb6ddc6e75c088898b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","QMTND1101203","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-01-03T04:46:11Z"
"spotify:track:56Q2OtRzToYHKxU9p6XWsn","Supernatural","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","spotify:album:04pUvZNdQT3sT8jJ7Iulwr","The End.","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2022-03-04","https://i.scdn.co/image/ab67616d0000b27306e9a48c622c6f3b6a47f744","1","8","140554","https://p.scdn.co/mp3-preview/b17567eb36e285851b40a99714137ba3ae10b25b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","QMTND2100182","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-11-15T17:23:21Z"
"spotify:track:5Ad67PM8s57fx6ojnA4WgL","Stone","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","spotify:album:04pUvZNdQT3sT8jJ7Iulwr","The End.","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2022-03-04","https://i.scdn.co/image/ab67616d0000b27306e9a48c622c6f3b6a47f744","1","13","247597","https://p.scdn.co/mp3-preview/93983367a9d8ae05817b45bce9a6820f8d388721?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","QMTND2100203","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-11-15T17:23:25Z"
"spotify:track:1CEYsFOS0hAoVxuqtRmaLz","Graves","spotify:artist:77IKXFvO7SpWrq8hflrUXc, spotify:artist:1bdnGJxkbIIys5Jhk1T74v","KB, Brandon Lake","spotify:album:7IyWwzTZC4NAGp9Sg0UAKM","Graves","spotify:artist:77IKXFvO7SpWrq8hflrUXc, spotify:artist:1bdnGJxkbIIys5Jhk1T74v","KB, Brandon Lake","2022-10-28","https://i.scdn.co/image/ab67616d0000b273e6a4a021f84456fd94baceac","1","1","260048","https://p.scdn.co/mp3-preview/d2d12cad5418255aa355d49a6b821523bee8ebb9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USA5W2200596","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-11-15T17:23:27Z"
"spotify:track:0M40AxxgVf7Pj8F6A0npHv","King Jesus (feat. Big Breeze, Scootie Wop, 1K Phew, Mike Teezy, Limoblaze, Wande, Cardec Drums, Tommy Royale & S.O.) - Pt. II","spotify:artist:77IKXFvO7SpWrq8hflrUXc, spotify:artist:71pLHraIX4XWsMpPETtntd, spotify:artist:1JAoqu34UmPWUUAjLMXt5I, spotify:artist:6CQGrt3AJ2gx5oMSR0mwbl, spotify:artist:6tO2zQcTIRfR2Xdsm9XnL7, spotify:artist:0liXA3xwx6pncxYQA30ahT, spotify:artist:0GdzQJqgRL5SHp7kXOKba0, spotify:artist:1uVtllLSmvkfPRozmSmxzG, spotify:artist:0gqbW7Uf6BAWiAh5C6jlPs, spotify:artist:6EUIhOt4DwyozjYFnrDlGv","KB, Big Breeze, Scootie Wop, 1K Phew, Mike Teezy, Limoblaze, Wande, Cardec Drums, Tommy Royale, SO","spotify:album:04zs6c3RqHxHZvEB2600LJ","King Jesus (feat. Big Breeze, Scootie Wop, 1K Phew, Mike Teezy, Limoblaze, Wande, Cardec Drums, Tommy Royale & S.O.) [Pt. II]","spotify:artist:77IKXFvO7SpWrq8hflrUXc","KB","2022-04-29","https://i.scdn.co/image/ab67616d0000b273aa97dbb0b9a9ba628e2f0982","1","1","394112","https://p.scdn.co/mp3-preview/2bc8518b639c599d3446ecc53b7b2039099c3a1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USA5W2200121","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-11-15T17:23:29Z"
