"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6cxg5uaRx7AAZQWTcDOH28","Patek","spotify:artist:4iAFsQhcfEPlwVIuETKC8J","Throne Seekers","spotify:album:4U2gvMpmY4vHDq7yzBI4xs","Patek","spotify:artist:4iAFsQhcfEPlwVIuETKC8J","Throne Seekers","2021-11-05","https://i.scdn.co/image/ab67616d0000b273ed5bf95a88e546d5822766f7","1","1","172872","https://p.scdn.co/mp3-preview/a6ed97b5ce272f86fa5c08c66437eff83e3ec450?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","FRX762144847","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-07-20T19:24:09Z"
"spotify:track:6ur3EWIejSgrtK8o2RClA5","Droppin' Bombs","spotify:artist:2dlCuzBPpSIeyY4ZCJBKGS, spotify:artist:2hDO9Hvuh8vrSCYm3yRBui","Bridge Music, Reggie Dartey","spotify:album:3u3imChgEXrC01zTvqqCic","Meditations of the Heart","spotify:artist:2dlCuzBPpSIeyY4ZCJBKGS","Bridge Music","2020-01-31","https://i.scdn.co/image/ab67616d0000b273c2a1b07e3d44526412a0236a","1","14","93213","https://p.scdn.co/mp3-preview/251e529971d72b5c05cb5ca98520695ff66d7b21?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","TCAEP2066130","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-07-20T19:24:13Z"
"spotify:track:0Q3vLyOlsRsiGVpNIChETc","God Ting","spotify:artist:69OC6b9mQnH3NdPbxsdJII","Young Preachers","spotify:album:05A2WXdNGBjn2hvagcLGDO","God Ting","spotify:artist:69OC6b9mQnH3NdPbxsdJII","Young Preachers","2020-03-08","https://i.scdn.co/image/ab67616d0000b273100a91b13568f10764fb04c9","1","1","176640","https://p.scdn.co/mp3-preview/2c4df5dbdd37b8a2d2568b0abb32a8ceaa735b76?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","QZFZ62050578","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-07-20T19:24:15Z"
"spotify:track:6kmmzTt5xbt0JxdJHFq0Cu","(Zikky) S2 E1- Top Up","spotify:artist:1sYCFMXOAq4TOtbtqb2JwF, spotify:artist:4p63Aqr66TZoWIP3bc9Ojv","Aligned Vision, Zikky","spotify:album:6soZ3O3F1mG2kPviJ8LusJ","(Zikky) S2 E1- Top Up","spotify:artist:1sYCFMXOAq4TOtbtqb2JwF, spotify:artist:4p63Aqr66TZoWIP3bc9Ojv","Aligned Vision, Zikky","2022-03-10","https://i.scdn.co/image/ab67616d0000b273c579e78405fb73d897434cb7","1","1","164788","https://p.scdn.co/mp3-preview/d4667b5cc1206975cb84a11b91fe7192aabe6164?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","QZDA62217071","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-07-20T19:24:16Z"
"spotify:track:6NAno55Dx4OODgcw7OgDaE","Walking Disciple","spotify:artist:0mbYmrFpsmeYFPlNyO6UBA","LukeNovember","spotify:album:6TkJWoIwDMbV4FaLZwsyjf","Walking Disciple","spotify:artist:0mbYmrFpsmeYFPlNyO6UBA","LukeNovember","2021-02-18","https://i.scdn.co/image/ab67616d0000b2732e743b9890cb5b4f5b5e7212","1","1","204800","https://p.scdn.co/mp3-preview/e7685e8abc3bb5c42c33a32eea8cf363f1027aea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","FR10S2177154","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-07-20T19:24:18Z"
"spotify:track:2VR3ky0tgmjAqPryCqmytl","Energy","spotify:artist:4iAFsQhcfEPlwVIuETKC8J","Throne Seekers","spotify:album:2Wdr3UQUb4Ip3bLZCjkGJ0","Energy","spotify:artist:4iAFsQhcfEPlwVIuETKC8J","Throne Seekers","2018-07-28","https://i.scdn.co/image/ab67616d0000b27359f9870ba7213754713a466e","1","1","175813","https://p.scdn.co/mp3-preview/0470ed167692c94b740abcb2da325962853c89e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","TCAED1906087","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-07-20T19:24:20Z"
"spotify:track:47xLcTepGRrPhMGvSnBM37","Who Wants Smoke?","spotify:artist:5XBo0wn5x7ihlMmOgQhz48, spotify:artist:1PyYLasAElH6ZMJ4n3DPh4","Akavelli, Zelijah Tishbite","spotify:album:5pLoFTD2IT2PdteY8U4bjw","Who Wants Smoke?","spotify:artist:5XBo0wn5x7ihlMmOgQhz48","Akavelli","2021-11-30","https://i.scdn.co/image/ab67616d0000b273e55a12cd346456583364ea71","1","1","202057","https://p.scdn.co/mp3-preview/afb56099e044ce683a1023d0339aafaacf94d481?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","QZPLR2187705","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-07-20T19:24:22Z"
"spotify:track:4380NGuBMTbNKaxIbTVZcc","Broken Cisterns","spotify:artist:5nOZWyvo9Plt0ULfiNQZDq","Si Knightly","spotify:album:7mOQi3ts2G5wMHdbQeWel3","Broken Cisterns","spotify:artist:5nOZWyvo9Plt0ULfiNQZDq","Si Knightly","2022-04-29","https://i.scdn.co/image/ab67616d0000b27348cbed1ffdc71b2e2767502b","1","1","240000","https://p.scdn.co/mp3-preview/60ff86e2ec9d21cdd688375c6952c0d1b003eb7c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","QZES92226773","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-07-20T19:24:24Z"
"spotify:track:3EultS0dFOI9Vyj4q3Bb0J","Ride","spotify:artist:2dlCuzBPpSIeyY4ZCJBKGS, spotify:artist:34SS6LZVG4gXdulk2PdRaK","Bridge Music, Eazzy","spotify:album:5t1kRLsyZOPt7yzNlGDYjK","Vulnerable, Vol. 1","spotify:artist:2dlCuzBPpSIeyY4ZCJBKGS","Bridge Music","2020-08-15","https://i.scdn.co/image/ab67616d0000b273caa73db0482b453853c80741","1","5","162266","https://p.scdn.co/mp3-preview/0651b7c151f69e82da3a722d7595e4ad5843b95e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","TCAFA2068755","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-07-20T19:24:28Z"
"spotify:track:695hrToXunX5IOpkFDpJ1Z","Standing Ovation","spotify:artist:7wEZIbeR4EyyHKhMEvBo5h","Gil Joe","spotify:album:1cAptCxauHMn0yCJxRDAwI","Eternal Life & Vibrations","spotify:artist:7wEZIbeR4EyyHKhMEvBo5h","Gil Joe","2021-01-29","https://i.scdn.co/image/ab67616d0000b27372041bda6a2139aefbddd4dd","1","3","203641","https://p.scdn.co/mp3-preview/13634c52ba849e2d93642fb0143d384cc2a48744?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","ZA41S2100163","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-07-20T19:24:31Z"
