"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6pjM0hogsudgkZxmzLm37u","Jesus Muzik","spotify:artist:1CFCsEqKrCyvAFKOATQHiW, spotify:artist:12H1Dmi64fAmmARrsyVFzy","Lecrae, Trip Lee","spotify:album:2KumPjVhmXrvNWiD1R7PEx","After the Music Stops","spotify:artist:1CFCsEqKrCyvAFKOATQHiW","Lecrae","2006-10-23","https://i.scdn.co/image/ab67616d0000b273d8fb22a8c39639f87e29149b","1","2","286771","https://p.scdn.co/mp3-preview/56a8d43c581bde7fa0bf90108ea7ddf7d95eb14b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USTC70806160","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-02-28T11:44:34Z"
"spotify:track:4hwexKchBoJJgo3VBIwHjP","Cash or Christ / Fanatics","spotify:artist:7tTsvTUJ7lXBezazP5jU72, spotify:artist:1CFCsEqKrCyvAFKOATQHiW, spotify:artist:12H1Dmi64fAmmARrsyVFzy","116, Lecrae, Trip Lee","spotify:album:026sl7ZEqMioldmNJau1Br","Amped","spotify:artist:7tTsvTUJ7lXBezazP5jU72","116","2007-08-28","https://i.scdn.co/image/ab67616d0000b273c927d6985c3a2d0ef68c197c","1","4","270040","https://p.scdn.co/mp3-preview/9aa5746d54ee2bf4050976783aadf0015f670340?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USTC20792219","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-02-28T11:47:50Z"
"spotify:track:7jg51yaT6u7GFvh1SSaQFx","Superstar (Eyes off Me)","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","spotify:album:30zs5DscRa5Nu7QM15Uc7Y","20/20","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2008-05-20","https://i.scdn.co/image/ab67616d0000b27376b4290efb7d4a5f9c822b84","1","2","225320","https://p.scdn.co/mp3-preview/37fb761fc12bd4272123ed12995e6c604b11ab29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USTC50807173","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-02-28T11:44:40Z"
"spotify:track:5k6CT6yNJ5FFkytBWvluyp","Brag on My Lord","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","spotify:album:1UtqZCIAsHMrdVVOPksohh","Brag on My Lord (Deluxe Single)","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2011","https://i.scdn.co/image/ab67616d0000b27355e4907be14a03bf05971cb5","1","1","156231","https://p.scdn.co/mp3-preview/d7fd95f278860280c613b5648e5d79213b540ace?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","TCAAX1106100","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-02-28T11:44:51Z"
"spotify:track:6jqrGjqGSunBsWL1ORDX69","Checkin’ For My God Remix","spotify:artist:3yBfMJRvM0LrPzR8hypjNq, spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:1CFCsEqKrCyvAFKOATQHiW","The Ambassador, Trip Lee, Lecrae","spotify:album:0O2WpjaUpdgIClOYH35UOy","The Chop Chop: From Milk To Meat","spotify:artist:3yBfMJRvM0LrPzR8hypjNq","The Ambassador","2008-10-07","https://i.scdn.co/image/ab67616d0000b2733930ddd95a360b31530cc137","1","3","283720","https://p.scdn.co/mp3-preview/c35cb8c0ad6a28021ec6c070a39e17bc8d95b152?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USFVJ0800052","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-02-28T11:44:21Z"
"spotify:track:7pJ7U3bpMDiMiZc1ngXjZj","Live It Up","spotify:artist:3yBfMJRvM0LrPzR8hypjNq, spotify:artist:12H1Dmi64fAmmARrsyVFzy","The Ambassador, Trip Lee","spotify:album:5dLzSTIYOznbytmXCrvmZ9","Xist Music Presents: Move Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-08-28","https://i.scdn.co/image/ab67616d0000b2732519876df6f89311fddbb2e0","1","8","231529","https://p.scdn.co/mp3-preview/68f38db0f048657117c4c2ef21f92bd38adbea2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","USACX1202044","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-02-28T11:44:24Z"
"spotify:track:11jyj2276ZVZ4yqrXjWl9r","Twisted","spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:1CFCsEqKrCyvAFKOATQHiW, spotify:artist:1Q45nhioxaxZTDjR0iaMWp, spotify:artist:3fn8lZLy7Q61AXCWWPYC4B","Trip Lee, Lecrae, Thi'sl, Derek Minor","spotify:album:3urzi9VOPiTcOcF2zFbahs","Between Two Worlds","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2010-06-22","https://i.scdn.co/image/ab67616d0000b273308eeddb06ea7bb4886c7780","1","12","291773","https://p.scdn.co/mp3-preview/2eeb142f26afd74a021ecaff80c4d390fbac7cf4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USTCF1017396","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-04-06T05:19:50Z"
"spotify:track:0kNwy4npNaJpYeJUPmD8au","Bear with You","spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:4c6lhwoOrmgNWvl0GxHlW1","Trip Lee, Tedashii","spotify:album:3urzi9VOPiTcOcF2zFbahs","Between Two Worlds","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2010-06-22","https://i.scdn.co/image/ab67616d0000b273308eeddb06ea7bb4886c7780","1","13","276760","https://p.scdn.co/mp3-preview/0686e1e88081faa5539294e2d1e6fc3866555f3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USTCF1017397","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-02-28T11:45:25Z"
"spotify:track:1Sp0f7YWMQVNd2bnUzfNn1","The Invasion (Hero) [feat. Jai]","spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:3uHnfXxUrnPq1XYw8t8Sz2","Trip Lee, Jai","spotify:album:7B0wLtxes35U0MQlNE07E6","Between Two Worlds","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2010-06-22","https://i.scdn.co/image/ab67616d0000b27397ad5b89a601d1f9850ce422","1","15","336920","","false","0","USTCF1017400","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-02-28T11:45:28Z"
"spotify:track:2ZinOsrANpZhKkAjiA6PmN","Rise","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","spotify:album:2QPKh4LqUxtwXGwbriYzqZ","Rise","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2014-10-27","https://i.scdn.co/image/ab67616d0000b27320a89d211a934f3b24942099","1","1","199159","https://p.scdn.co/mp3-preview/563e59deefa6240498d9da9fc5cdaedfd256e262?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","QMTND1100469","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-02-28T11:45:44Z"
