"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5LsnFxZWnPbx7l0qkuvSW4","Wrath and Grace Cypher","spotify:artist:2xQ7uP8WdoTOpsprD9MYH1, spotify:artist:616IWaFwOiXLfqtk5HKyGH, spotify:artist:5wpxslZRkZdusMLmm7SzEc, spotify:artist:7mBSkG8OGZzUiqc5z0QTna, spotify:artist:0WEIRydBD8v2mPyOPFpkzh, spotify:artist:71S9IY9CXkux0BQ3vMsZ73, spotify:artist:7bnOI6rqJJ5Jtgta6HrxFF, spotify:artist:4EbVIeaxPHc1eMl4U1ddeP, spotify:artist:47FsUovLhPvPNfu29dkLLk","Wrath and Grace, Marrio Esco, Bridge B, Jovan Mackenzy, Tony Rueda, Omri, Zae Da Blacksmith, Ivey Conerly, Result","spotify:album:5aiMYAizu7sMoohGIecvK3","The Calling (A Compilation Album)","spotify:artist:2xQ7uP8WdoTOpsprD9MYH1","Wrath and Grace","2017-03-28","https://i.scdn.co/image/ab67616d0000b27320962c31e07402d080d29ef7","1","1","334893","https://p.scdn.co/mp3-preview/0a1086b068f94b5cc6bcea3f08ae100baf3c03e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","TCAEI1931001","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2021-02-08T07:15:42Z"
"spotify:track:0qktOzInRqRY4vdYVg2BFm","Babylon","spotify:artist:2xQ7uP8WdoTOpsprD9MYH1, spotify:artist:7mBSkG8OGZzUiqc5z0QTna, spotify:artist:616IWaFwOiXLfqtk5HKyGH, spotify:artist:71S9IY9CXkux0BQ3vMsZ73, spotify:artist:5wpxslZRkZdusMLmm7SzEc","Wrath and Grace, Jovan Mackenzy, Marrio Esco, Omri, Bridge B","spotify:album:5aiMYAizu7sMoohGIecvK3","The Calling (A Compilation Album)","spotify:artist:2xQ7uP8WdoTOpsprD9MYH1","Wrath and Grace","2017-03-28","https://i.scdn.co/image/ab67616d0000b27320962c31e07402d080d29ef7","1","2","290160","https://p.scdn.co/mp3-preview/a9d5b3768f3e547f1584868a8bf5f811b7daa14b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","TCAEI1931009","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2021-02-08T07:15:50Z"
"spotify:track:133u21xpuGJva8BwTUDQZM","Pedestal","spotify:artist:2xQ7uP8WdoTOpsprD9MYH1, spotify:artist:4Jn6o8zYlwTT7UnAX6gsTy, spotify:artist:4aBcwMGnLwKP2kq9SD71G2","Wrath and Grace, KMO, Plain James","spotify:album:5aiMYAizu7sMoohGIecvK3","The Calling (A Compilation Album)","spotify:artist:2xQ7uP8WdoTOpsprD9MYH1","Wrath and Grace","2017-03-28","https://i.scdn.co/image/ab67616d0000b27320962c31e07402d080d29ef7","1","6","282306","https://p.scdn.co/mp3-preview/587887f0ef47bc7056cf64fa7b3f8dbebcd7edeb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","TCAEI1931028","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2021-02-08T07:15:57Z"
"spotify:track:6UZoXcM6iNrCZ9vygCH2XM","God over Porn","spotify:artist:2xQ7uP8WdoTOpsprD9MYH1, spotify:artist:7mBSkG8OGZzUiqc5z0QTna, spotify:artist:47FsUovLhPvPNfu29dkLLk, spotify:artist:2wpamTogOh5mD9zFQUd9HW","Wrath and Grace, Jovan Mackenzy, Result, Serge","spotify:album:5aiMYAizu7sMoohGIecvK3","The Calling (A Compilation Album)","spotify:artist:2xQ7uP8WdoTOpsprD9MYH1","Wrath and Grace","2017-03-28","https://i.scdn.co/image/ab67616d0000b27320962c31e07402d080d29ef7","1","7","312693","https://p.scdn.co/mp3-preview/b105076c5339ed8e60fbfe756fd05f8ab75b0a0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","TCAEI1931032","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2021-02-08T07:16:00Z"
"spotify:track:5ztmoEBjRAFMJH0Krt4ZLL","Die Daily","spotify:artist:7qkV0tHv8UTcutWKrpVbEk, spotify:artist:2O2uac258Prr3r8pbKakPD, spotify:artist:47FsUovLhPvPNfu29dkLLk","Evangel, Plain James, Result","spotify:album:2toXADKp3IB9NFeuyMsyVe","Eden's Gift -Rare and Features-","spotify:artist:7qkV0tHv8UTcutWKrpVbEk","Evangel","2015-06-23","https://i.scdn.co/image/ab67616d0000b27390f28c4d81a17e5c26ce7921","1","7","257910","","false","0","QZFYY1994557","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2021-04-13T15:54:44Z"
"spotify:track:2FThdxRFjvNEBX6C9ldap4","Blurred Images","spotify:artist:2xQ7uP8WdoTOpsprD9MYH1, spotify:artist:7bnOI6rqJJ5Jtgta6HrxFF, spotify:artist:557QRTdkolVLS7LScBTOsa, spotify:artist:2O7YJ81ZAF8jbHicjxnHCa, spotify:artist:00wa5Woz8q7YxQRgybXao4","Wrath and Grace, Zae Da Blacksmith, Ian Buchanan, Dj Average Joe, Stract","spotify:album:7zCHWO7HM7KV92oecDIEUd","Sound Doctrine","spotify:artist:2xQ7uP8WdoTOpsprD9MYH1","Wrath and Grace","2018-08-10","https://i.scdn.co/image/ab67616d0000b273968e739bceb97e0248bd7d35","1","5","291506","https://p.scdn.co/mp3-preview/9046be9e6bbeb07de6563773a03cb134fc92d7be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","TCADT1815786","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2021-03-29T10:39:14Z"
"spotify:track:1VESeO9PuMkEFzeGjtSgdF","Road to Nowhere","spotify:artist:2xQ7uP8WdoTOpsprD9MYH1, spotify:artist:6nELoJ6eMXfYHX5xocKf33, spotify:artist:0Bk3evCKshlpidyxh7GrJs, spotify:artist:4kxUaqM1CMJ7U0xqGzXAAZ","Wrath and Grace, S.O., Nak Daniels, Tony Hazakim","spotify:album:7zCHWO7HM7KV92oecDIEUd","Sound Doctrine","spotify:artist:2xQ7uP8WdoTOpsprD9MYH1","Wrath and Grace","2018-08-10","https://i.scdn.co/image/ab67616d0000b273968e739bceb97e0248bd7d35","1","6","196106","https://p.scdn.co/mp3-preview/e23c15211efdf0b2c08b1e845cc09aa688d33d3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","TCADT1815797","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2021-03-02T06:31:55Z"
"spotify:track:1G7Wrj7yDBjJHWwmw5WtIh","Semper Reformanda","spotify:artist:4VeE5LiHady6pvP8lNRiAA","Christcentric","spotify:album:6hl6FhvOtWgT5DsWEqkVvs","Didactic Music, Vol. 1","spotify:artist:4VeE5LiHady6pvP8lNRiAA","Christcentric","2009-08-25","https://i.scdn.co/image/ab67616d0000b273c31b0f8302b486fb96ba7c82","1","1","284480","","false","0","QZFZ71976113","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2021-02-08T07:18:09Z"
"spotify:track:3k6E7yuWw2QfNkds6slh1n","Metatonia","spotify:artist:4VeE5LiHady6pvP8lNRiAA","Christcentric","spotify:album:5oqP6mzjHpUeURvK417KCD","The Lost Sessions","spotify:artist:4VeE5LiHady6pvP8lNRiAA","Christcentric","2020-01-04","https://i.scdn.co/image/ab67616d0000b273b5d46541269769cfb0786a0b","1","1","289178","https://p.scdn.co/mp3-preview/fc768166b8b897615a8521b222a19fb557e4b9de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","TCAGS2233668","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-01-14T13:37:56Z"
"spotify:track:01ns5PbPICC13YWfNFQqnJ","Romans 1:1-15 Greetings to the Church in Rome","spotify:artist:4VeE5LiHady6pvP8lNRiAA, spotify:artist:7u3XjdSPq4ibP3ksooRo0B","Christcentric, Elder Derek Pulliam","spotify:album:5xZty15SsuXpVCnkxIswsA","Romans, Vol. 1","spotify:artist:4VeE5LiHady6pvP8lNRiAA","Christcentric","2017-09-29","https://i.scdn.co/image/ab67616d0000b2735fccbe469be8ddbfe5ada074","1","1","147990","","false","0","QZHN31923887","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2021-02-09T06:25:32Z"
